,Region,LGA,Quater,Count,Median
0,Barwon South West,Colac-Otway,Dec 1999,7.0,80.0
1,Barwon South West,Colac-Otway,Dec 2000,6.0,83.0
2,Barwon South West,Colac-Otway,Dec 2001,6.0,95.0
3,Barwon South West,Colac-Otway,Dec 2002,10.0,100.0
4,Barwon South West,Colac-Otway,Dec 2003,5.0,115.0
5,Barwon South West,Colac-Otway,Dec 2004,8.0,105.0
6,Barwon South West,Colac-Otway,Dec 2005,9.0,125.0
8,Barwon South West,Colac-Otway,Dec 2007,9.0,140.0
9,Barwon South West,Colac-Otway,Dec 2008,5.0,150.0
10,Barwon South West,Colac-Otway,Dec 2009,6.0,165.0
11,Barwon South West,Colac-Otway,Dec 2010,14.0,150.0
12,Barwon South West,Colac-Otway,Dec 2011,9.0,150.0
13,Barwon South West,Colac-Otway,Dec 2012,7.0,185.0
14,Barwon South West,Colac-Otway,Dec 2013,11.0,180.0
15,Barwon South West,Colac-Otway,Dec 2014,9.0,190.0
16,Barwon South West,Colac-Otway,Dec 2015,18.0,180.0
17,Barwon South West,Colac-Otway,Dec 2016,9.0,195.0
18,Barwon South West,Colac-Otway,Dec 2017,9.0,200.0
19,Barwon South West,Colac-Otway,Dec 2018,4.0,205.0
20,Barwon South West,Colac-Otway,Dec 2019,8.0,215.0
21,Barwon South West,Colac-Otway,Dec 2020,10.0,223.0
22,Barwon South West,Colac-Otway,Jun 1999,6.0,68.0
23,Barwon South West,Colac-Otway,Jun 2000,12.0,75.0
24,Barwon South West,Colac-Otway,Jun 2001,7.0,90.0
26,Barwon South West,Colac-Otway,Jun 2003,8.0,118.0
27,Barwon South West,Colac-Otway,Jun 2004,7.0,110.0
28,Barwon South West,Colac-Otway,Jun 2005,8.0,115.0
29,Barwon South West,Colac-Otway,Jun 2006,10.0,130.0
30,Barwon South West,Colac-Otway,Jun 2007,10.0,138.0
31,Barwon South West,Colac-Otway,Jun 2008,7.0,145.0
32,Barwon South West,Colac-Otway,Jun 2009,12.0,150.0
33,Barwon South West,Colac-Otway,Jun 2010,6.0,160.0
34,Barwon South West,Colac-Otway,Jun 2011,14.0,165.0
35,Barwon South West,Colac-Otway,Jun 2012,8.0,165.0
36,Barwon South West,Colac-Otway,Jun 2013,7.0,185.0
37,Barwon South West,Colac-Otway,Jun 2014,10.0,175.0
38,Barwon South West,Colac-Otway,Jun 2015,6.0,168.0
39,Barwon South West,Colac-Otway,Jun 2016,6.0,178.0
40,Barwon South West,Colac-Otway,Jun 2017,9.0,195.0
41,Barwon South West,Colac-Otway,Jun 2018,8.0,203.0
42,Barwon South West,Colac-Otway,Jun 2019,4.0,214.0
43,Barwon South West,Colac-Otway,Jun 2020,9.0,230.0
44,Barwon South West,Colac-Otway,Jun 2021,11.0,230.0
45,Barwon South West,Colac-Otway,Mar 2000,6.0,80.0
46,Barwon South West,Colac-Otway,Mar 2001,7.0,85.0
47,Barwon South West,Colac-Otway,Mar 2002,7.0,95.0
