,Region,LGA,Quater,Count,Median
0,Barwon South West,Colac-Otway,Dec 1999,14.0,110.0
1,Barwon South West,Colac-Otway,Dec 2000,10.0,115.0
2,Barwon South West,Colac-Otway,Dec 2001,8.0,130.0
3,Barwon South West,Colac-Otway,Dec 2002,13.0,135.0
4,Barwon South West,Colac-Otway,Dec 2003,19.0,155.0
5,Barwon South West,Colac-Otway,Dec 2004,15.0,155.0
6,Barwon South West,Colac-Otway,Dec 2005,11.0,170.0
7,Barwon South West,Colac-Otway,Dec 2006,19.0,170.0
8,Barwon South West,Colac-Otway,Dec 2007,13.0,180.0
9,Barwon South West,Colac-Otway,Dec 2008,19.0,190.0
10,Barwon South West,Colac-Otway,Dec 2009,15.0,200.0
11,Barwon South West,Colac-Otway,Dec 2010,22.0,210.0
12,Barwon South West,Colac-Otway,Dec 2011,19.0,220.0
13,Barwon South West,Colac-Otway,Dec 2012,17.0,230.0
14,Barwon South West,Colac-Otway,Dec 2013,17.0,230.0
15,Barwon South West,Colac-Otway,Dec 2014,19.0,240.0
16,Barwon South West,Colac-Otway,Dec 2015,16.0,230.0
17,Barwon South West,Colac-Otway,Dec 2016,22.0,225.0
18,Barwon South West,Colac-Otway,Dec 2017,13.0,270.0
19,Barwon South West,Colac-Otway,Dec 2018,15.0,265.0
20,Barwon South West,Colac-Otway,Dec 2019,13.0,280.0
21,Barwon South West,Colac-Otway,Dec 2020,18.0,287.0
22,Barwon South West,Colac-Otway,Jun 1999,20.0,110.0
23,Barwon South West,Colac-Otway,Jun 2000,11.0,120.0
24,Barwon South West,Colac-Otway,Jun 2001,9.0,125.0
25,Barwon South West,Colac-Otway,Jun 2002,16.0,150.0
26,Barwon South West,Colac-Otway,Jun 2003,13.0,150.0
27,Barwon South West,Colac-Otway,Jun 2004,16.0,153.0
28,Barwon South West,Colac-Otway,Jun 2005,12.0,170.0
29,Barwon South West,Colac-Otway,Jun 2006,12.0,173.0
30,Barwon South West,Colac-Otway,Jun 2007,14.0,175.0
31,Barwon South West,Colac-Otway,Jun 2008,11.0,195.0
32,Barwon South West,Colac-Otway,Jun 2009,22.0,188.0
33,Barwon South West,Colac-Otway,Jun 2010,13.0,180.0
34,Barwon South West,Colac-Otway,Jun 2011,22.0,220.0
35,Barwon South West,Colac-Otway,Jun 2012,18.0,220.0
36,Barwon South West,Colac-Otway,Jun 2013,14.0,210.0
37,Barwon South West,Colac-Otway,Jun 2014,17.0,235.0
38,Barwon South West,Colac-Otway,Jun 2015,19.0,250.0
39,Barwon South West,Colac-Otway,Jun 2016,17.0,240.0
40,Barwon South West,Colac-Otway,Jun 2017,16.0,260.0
41,Barwon South West,Colac-Otway,Jun 2018,21.0,250.0
42,Barwon South West,Colac-Otway,Jun 2019,17.0,285.0
43,Barwon South West,Colac-Otway,Jun 2020,11.0,310.0
44,Barwon South West,Colac-Otway,Jun 2021,7.0,295.0
45,Barwon South West,Colac-Otway,Mar 2000,14.0,110.0
46,Barwon South West,Colac-Otway,Mar 2001,13.0,115.0
47,Barwon South West,Colac-Otway,Mar 2002,10.0,135.0
48,Barwon South West,Colac-Otway,Mar 2003,17.0,165.0
49,Barwon South West,Colac-Otway,Mar 2004,21.0,150.0
50,Barwon South West,Colac-Otway,Mar 2005,15.0,150.0
51,Barwon South West,Colac-Otway,Mar 2006,14.0,150.0
52,Barwon South West,Colac-Otway,Mar 2007,13.0,180.0
53,Barwon South West,Colac-Otway,Mar 2008,12.0,185.0
54,Barwon South West,Colac-Otway,Mar 2009,14.0,200.0
55,Barwon South West,Colac-Otway,Mar 2010,15.0,200.0
56,Barwon South West,Colac-Otway,Mar 2011,16.0,200.0
57,Barwon South West,Colac-Otway,Mar 2012,18.0,206.0
58,Barwon South West,Colac-Otway,Mar 2013,13.0,240.0
59,Barwon South West,Colac-Otway,Mar 2014,15.0,230.0
60,Barwon South West,Colac-Otway,Mar 2015,22.0,238.0
61,Barwon South West,Colac-Otway,Mar 2016,15.0,270.0
62,Barwon South West,Colac-Otway,Mar 2017,18.0,250.0
63,Barwon South West,Colac-Otway,Mar 2018,15.0,260.0
64,Barwon South West,Colac-Otway,Mar 2019,14.0,280.0
65,Barwon South West,Colac-Otway,Mar 2020,14.0,280.0
66,Barwon South West,Colac-Otway,Mar 2021,11.0,320.0
67,Barwon South West,Colac-Otway,Sep 1999,13.0,110.0
68,Barwon South West,Colac-Otway,Sep 2000,11.0,115.0
69,Barwon South West,Colac-Otway,Sep 2001,14.0,130.0
70,Barwon South West,Colac-Otway,Sep 2002,19.0,150.0
71,Barwon South West,Colac-Otway,Sep 2003,21.0,150.0
72,Barwon South West,Colac-Otway,Sep 2004,10.0,155.0
73,Barwon South West,Colac-Otway,Sep 2005,14.0,160.0
74,Barwon South West,Colac-Otway,Sep 2006,17.0,165.0
75,Barwon South West,Colac-Otway,Sep 2007,12.0,178.0
76,Barwon South West,Colac-Otway,Sep 2008,12.0,183.0
77,Barwon South West,Colac-Otway,Sep 2009,16.0,190.0
78,Barwon South West,Colac-Otway,Sep 2010,12.0,215.0
79,Barwon South West,Colac-Otway,Sep 2011,20.0,220.0
80,Barwon South West,Colac-Otway,Sep 2012,24.0,223.0
81,Barwon South West,Colac-Otway,Sep 2013,24.0,230.0
82,Barwon South West,Colac-Otway,Sep 2014,18.0,225.0
83,Barwon South West,Colac-Otway,Sep 2015,25.0,240.0
84,Barwon South West,Colac-Otway,Sep 2016,21.0,250.0
