,Region,LGA,Quater,Count,Median
0,Barwon South West,Colac-Otway,Dec 1999,81.0,115.0
1,Barwon South West,Colac-Otway,Dec 2000,69.0,120.0
2,Barwon South West,Colac-Otway,Dec 2001,72.0,130.0
3,Barwon South West,Colac-Otway,Dec 2002,99.0,150.0
4,Barwon South West,Colac-Otway,Dec 2003,109.0,160.0
5,Barwon South West,Colac-Otway,Dec 2004,103.0,165.0
6,Barwon South West,Colac-Otway,Dec 2005,83.0,180.0
7,Barwon South West,Colac-Otway,Dec 2006,95.0,175.0
8,Barwon South West,Colac-Otway,Dec 2007,91.0,185.0
9,Barwon South West,Colac-Otway,Dec 2008,113.0,200.0
10,Barwon South West,Colac-Otway,Dec 2009,111.0,210.0
11,Barwon South West,Colac-Otway,Dec 2010,117.0,205.0
12,Barwon South West,Colac-Otway,Dec 2011,126.0,230.0
13,Barwon South West,Colac-Otway,Dec 2012,122.0,248.0
14,Barwon South West,Colac-Otway,Dec 2013,143.0,250.0
15,Barwon South West,Colac-Otway,Dec 2014,140.0,258.0
16,Barwon South West,Colac-Otway,Dec 2015,145.0,260.0
17,Barwon South West,Colac-Otway,Dec 2016,145.0,260.0
18,Barwon South West,Colac-Otway,Dec 2017,127.0,285.0
19,Barwon South West,Colac-Otway,Dec 2018,100.0,298.0
20,Barwon South West,Colac-Otway,Dec 2019,116.0,305.0
21,Barwon South West,Colac-Otway,Dec 2020,112.0,328.0
22,Barwon South West,Colac-Otway,Jun 1999,100.0,114.0
23,Barwon South West,Colac-Otway,Jun 2000,91.0,120.0
24,Barwon South West,Colac-Otway,Jun 2001,81.0,130.0
25,Barwon South West,Colac-Otway,Jun 2002,88.0,148.0
26,Barwon South West,Colac-Otway,Jun 2003,100.0,155.0
27,Barwon South West,Colac-Otway,Jun 2004,88.0,163.0
28,Barwon South West,Colac-Otway,Jun 2005,111.0,170.0
29,Barwon South West,Colac-Otway,Jun 2006,110.0,180.0
30,Barwon South West,Colac-Otway,Jun 2007,90.0,173.0
31,Barwon South West,Colac-Otway,Jun 2008,121.0,200.0
32,Barwon South West,Colac-Otway,Jun 2009,117.0,210.0
33,Barwon South West,Colac-Otway,Jun 2010,127.0,210.0
34,Barwon South West,Colac-Otway,Jun 2011,142.0,220.0
35,Barwon South West,Colac-Otway,Jun 2012,121.0,230.0
36,Barwon South West,Colac-Otway,Jun 2013,109.0,250.0
37,Barwon South West,Colac-Otway,Jun 2014,125.0,250.0
38,Barwon South West,Colac-Otway,Jun 2015,121.0,260.0
39,Barwon South West,Colac-Otway,Jun 2016,143.0,280.0
40,Barwon South West,Colac-Otway,Jun 2017,151.0,280.0
41,Barwon South West,Colac-Otway,Jun 2018,122.0,285.0
42,Barwon South West,Colac-Otway,Jun 2019,116.0,320.0
43,Barwon South West,Colac-Otway,Jun 2020,87.0,320.0
44,Barwon South West,Colac-Otway,Jun 2021,92.0,325.0
45,Barwon South West,Colac-Otway,Mar 2000,97.0,115.0
46,Barwon South West,Colac-Otway,Mar 2001,89.0,120.0
47,Barwon South West,Colac-Otway,Mar 2002,88.0,140.0
48,Barwon South West,Colac-Otway,Mar 2003,116.0,160.0
49,Barwon South West,Colac-Otway,Mar 2004,103.0,160.0
50,Barwon South West,Colac-Otway,Mar 2005,113.0,170.0
51,Barwon South West,Colac-Otway,Mar 2006,100.0,175.0
52,Barwon South West,Colac-Otway,Mar 2007,103.0,180.0
53,Barwon South West,Colac-Otway,Mar 2008,125.0,195.0
54,Barwon South West,Colac-Otway,Mar 2009,128.0,200.0
55,Barwon South West,Colac-Otway,Mar 2010,118.0,220.0
56,Barwon South West,Colac-Otway,Mar 2011,126.0,220.0
57,Barwon South West,Colac-Otway,Mar 2012,125.0,225.0
58,Barwon South West,Colac-Otway,Mar 2013,126.0,240.0
59,Barwon South West,Colac-Otway,Mar 2014,143.0,250.0
60,Barwon South West,Colac-Otway,Mar 2015,142.0,250.0
61,Barwon South West,Colac-Otway,Mar 2016,157.0,270.0
62,Barwon South West,Colac-Otway,Mar 2017,128.0,283.0
63,Barwon South West,Colac-Otway,Mar 2018,137.0,280.0
64,Barwon South West,Colac-Otway,Mar 2019,120.0,315.0
65,Barwon South West,Colac-Otway,Mar 2020,131.0,320.0
66,Barwon South West,Colac-Otway,Mar 2021,89.0,340.0
67,Barwon South West,Colac-Otway,Sep 1999,78.0,115.0
68,Barwon South West,Colac-Otway,Sep 2000,103.0,120.0
69,Barwon South West,Colac-Otway,Sep 2001,89.0,130.0
70,Barwon South West,Colac-Otway,Sep 2002,95.0,150.0
71,Barwon South West,Colac-Otway,Sep 2003,109.0,160.0
72,Barwon South West,Colac-Otway,Sep 2004,98.0,168.0
73,Barwon South West,Colac-Otway,Sep 2005,122.0,170.0
74,Barwon South West,Colac-Otway,Sep 2006,110.0,170.0
75,Barwon South West,Colac-Otway,Sep 2007,95.0,185.0
76,Barwon South West,Colac-Otway,Sep 2008,123.0,195.0
77,Barwon South West,Colac-Otway,Sep 2009,123.0,200.0
78,Barwon South West,Colac-Otway,Sep 2010,123.0,220.0
79,Barwon South West,Colac-Otway,Sep 2011,125.0,230.0
80,Barwon South West,Colac-Otway,Sep 2012,134.0,240.0
81,Barwon South West,Colac-Otway,Sep 2013,146.0,240.0
82,Barwon South West,Colac-Otway,Sep 2014,150.0,250.0
83,Barwon South West,Colac-Otway,Sep 2015,143.0,260.0
84,Barwon South West,Colac-Otway,Sep 2016,158.0,265.0
85,Barwon South West,Colac-Otway,Sep 2017,128.0,280.0
86,Barwon South West,Colac-Otway,Sep 2018,138.0,300.0
87,Barwon South West,Colac-Otway,Sep 2019,113.0,310.0
88,Barwon South West,Colac-Otway,Sep 2020,130.0,335.0
890,Grampians,Ararat,Dec 1999,67.0,105.0
891,Grampians,Ararat,Dec 2000,63.0,100.0
892,Grampians,Ararat,Dec 2001,45.0,110.0
893,Grampians,Ararat,Dec 2002,47.0,110.0
894,Grampians,Ararat,Dec 2003,49.0,120.0
895,Grampians,Ararat,Dec 2004,59.0,130.0
896,Grampians,Ararat,Dec 2005,43.0,140.0
897,Grampians,Ararat,Dec 2006,43.0,140.0
898,Grampians,Ararat,Dec 2007,44.0,158.0
899,Grampians,Ararat,Dec 2008,50.0,155.0
900,Grampians,Ararat,Dec 2009,63.0,170.0
901,Grampians,Ararat,Dec 2010,57.0,170.0
902,Grampians,Ararat,Dec 2011,62.0,215.0
903,Grampians,Ararat,Dec 2012,81.0,205.0
904,Grampians,Ararat,Dec 2013,65.0,220.0
905,Grampians,Ararat,Dec 2014,70.0,240.0
906,Grampians,Ararat,Dec 2015,95.0,250.0
907,Grampians,Ararat,Dec 2016,64.0,240.0
908,Grampians,Ararat,Dec 2017,101.0,245.0
909,Grampians,Ararat,Dec 2018,70.0,273.0
910,Grampians,Ararat,Dec 2019,81.0,270.0
911,Grampians,Ararat,Dec 2020,76.0,285.0
912,Grampians,Ararat,Jun 1999,69.0,110.0
913,Grampians,Ararat,Jun 2000,59.0,100.0
914,Grampians,Ararat,Jun 2001,54.0,108.0
915,Grampians,Ararat,Jun 2002,49.0,120.0
916,Grampians,Ararat,Jun 2003,62.0,120.0
917,Grampians,Ararat,Jun 2004,50.0,120.0
918,Grampians,Ararat,Jun 2005,51.0,140.0
919,Grampians,Ararat,Jun 2006,56.0,135.0
920,Grampians,Ararat,Jun 2007,41.0,145.0
921,Grampians,Ararat,Jun 2008,66.0,150.0
922,Grampians,Ararat,Jun 2009,54.0,160.0
923,Grampians,Ararat,Jun 2010,70.0,180.0
924,Grampians,Ararat,Jun 2011,67.0,215.0
925,Grampians,Ararat,Jun 2012,69.0,210.0
926,Grampians,Ararat,Jun 2013,80.0,245.0
927,Grampians,Ararat,Jun 2014,66.0,230.0
928,Grampians,Ararat,Jun 2015,64.0,233.0
929,Grampians,Ararat,Jun 2016,87.0,235.0
930,Grampians,Ararat,Jun 2017,85.0,240.0
931,Grampians,Ararat,Jun 2018,90.0,260.0
932,Grampians,Ararat,Jun 2019,71.0,270.0
933,Grampians,Ararat,Jun 2020,73.0,280.0
934,Grampians,Ararat,Jun 2021,44.0,290.0
935,Grampians,Ararat,Mar 2000,73.0,100.0
936,Grampians,Ararat,Mar 2001,63.0,110.0
937,Grampians,Ararat,Mar 2002,60.0,110.0
938,Grampians,Ararat,Mar 2003,67.0,120.0
939,Grampians,Ararat,Mar 2004,65.0,120.0
940,Grampians,Ararat,Mar 2005,47.0,130.0
941,Grampians,Ararat,Mar 2006,54.0,135.0
942,Grampians,Ararat,Mar 2007,64.0,145.0
943,Grampians,Ararat,Mar 2008,54.0,153.0
944,Grampians,Ararat,Mar 2009,74.0,160.0
945,Grampians,Ararat,Mar 2010,65.0,180.0
946,Grampians,Ararat,Mar 2011,84.0,200.0
947,Grampians,Ararat,Mar 2012,96.0,220.0
948,Grampians,Ararat,Mar 2013,106.0,225.0
949,Grampians,Ararat,Mar 2014,91.0,240.0
950,Grampians,Ararat,Mar 2015,102.0,240.0
951,Grampians,Ararat,Mar 2016,65.0,240.0
952,Grampians,Ararat,Mar 2017,82.0,240.0
953,Grampians,Ararat,Mar 2018,77.0,250.0
954,Grampians,Ararat,Mar 2019,85.0,300.0
955,Grampians,Ararat,Mar 2020,67.0,280.0
956,Grampians,Ararat,Mar 2021,89.0,300.0
957,Grampians,Ararat,Sep 1999,56.0,100.0
958,Grampians,Ararat,Sep 2000,74.0,98.0
959,Grampians,Ararat,Sep 2001,51.0,110.0
960,Grampians,Ararat,Sep 2002,51.0,110.0
961,Grampians,Ararat,Sep 2003,54.0,130.0
962,Grampians,Ararat,Sep 2004,52.0,133.0
963,Grampians,Ararat,Sep 2005,52.0,130.0
964,Grampians,Ararat,Sep 2006,45.0,145.0
965,Grampians,Ararat,Sep 2007,46.0,145.0
966,Grampians,Ararat,Sep 2008,61.0,160.0
967,Grampians,Ararat,Sep 2009,71.0,170.0
968,Grampians,Ararat,Sep 2010,76.0,200.0
969,Grampians,Ararat,Sep 2011,83.0,220.0
970,Grampians,Ararat,Sep 2012,81.0,210.0
971,Grampians,Ararat,Sep 2013,69.0,230.0
972,Grampians,Ararat,Sep 2014,79.0,230.0
973,Grampians,Ararat,Sep 2015,90.0,238.0
974,Grampians,Ararat,Sep 2016,86.0,265.0
975,Grampians,Ararat,Sep 2017,85.0,260.0
976,Grampians,Ararat,Sep 2018,86.0,280.0
977,Grampians,Ararat,Sep 2019,71.0,270.0
978,Grampians,Ararat,Sep 2020,63.0,290.0
979,Grampians,Ballarat,Dec 1999,696.0,133.0
980,Grampians,Ballarat,Dec 2000,682.0,140.0
981,Grampians,Ballarat,Dec 2001,647.0,150.0
982,Grampians,Ballarat,Dec 2002,690.0,160.0
983,Grampians,Ballarat,Dec 2003,725.0,170.0
984,Grampians,Ballarat,Dec 2004,726.0,175.0
985,Grampians,Ballarat,Dec 2005,691.0,180.0
986,Grampians,Ballarat,Dec 2006,645.0,190.0
987,Grampians,Ballarat,Dec 2007,722.0,195.0
988,Grampians,Ballarat,Dec 2008,780.0,220.0
989,Grampians,Ballarat,Dec 2009,812.0,230.0
990,Grampians,Ballarat,Dec 2010,868.0,240.0
991,Grampians,Ballarat,Dec 2011,914.0,260.0
992,Grampians,Ballarat,Dec 2012,1020.0,265.0
993,Grampians,Ballarat,Dec 2013,1007.0,260.0
994,Grampians,Ballarat,Dec 2014,1068.0,270.0
995,Grampians,Ballarat,Dec 2015,1134.0,270.0
996,Grampians,Ballarat,Dec 2016,1040.0,280.0
997,Grampians,Ballarat,Dec 2017,1036.0,290.0
998,Grampians,Ballarat,Dec 2018,977.0,300.0
999,Grampians,Ballarat,Dec 2019,1016.0,320.0
1000,Grampians,Ballarat,Dec 2020,968.0,340.0
1001,Grampians,Ballarat,Jun 1999,663.0,130.0
1002,Grampians,Ballarat,Jun 2000,619.0,135.0
1003,Grampians,Ballarat,Jun 2001,582.0,140.0
1004,Grampians,Ballarat,Jun 2002,643.0,160.0
1005,Grampians,Ballarat,Jun 2003,680.0,165.0
1006,Grampians,Ballarat,Jun 2004,613.0,170.0
1007,Grampians,Ballarat,Jun 2005,709.0,180.0
1008,Grampians,Ballarat,Jun 2006,636.0,180.0
1009,Grampians,Ballarat,Jun 2007,687.0,190.0
1010,Grampians,Ballarat,Jun 2008,779.0,210.0
1011,Grampians,Ballarat,Jun 2009,757.0,220.0
1012,Grampians,Ballarat,Jun 2010,734.0,235.0
1013,Grampians,Ballarat,Jun 2011,787.0,250.0
